ProductName|StringID
Microsoft Teams Rooms Standard for GCC|MEETING_ROOM_GOV
Microsoft Teams Rooms Standard for GCC without Audio Conferencing|MEETING_ROOM_GOV_NOAUDIOCONF
Microsoft Teams Shared Devices|MCOCAP
Microsoft Teams Shared Devices for Faculty|MCOCAP_FACULTY
Microsoft Teams Shared Devices for GCC|MCOCAP_GOV
Microsoft Teams Trial|MS_TEAMS_IW
Microsoft Threat Experts - Experts on Demand|EXPERTS_ON_DEMAND
Microsoft Workplace Analytics|WORKPLACE_ANALYTICS
Microsoft Viva Goals|Microsoft_Viva_Goals
Microsoft Viva Glint|Viva_Glint_Standalone
Microsoft Viva Suite|VIVA
Minecraft Education Faculty|MEE_FACULTY
Minecraft Education Student|MEE_STUDENT
Office 365 Multi-Geo Capabilities|OFFICE365_MULTIGEO
Nonprofit Portal|NONPROFIT_PORTAL
Office 365 A1 for Faculty|STANDARDWOFFPACK_FACULTY
Office 365 A1 Plus for Faculty|STANDARDWOFFPACK_IW_FACULTY
Office 365 A1 for Students|STANDARDWOFFPACK_STUDENT
Office 365 A1 Plus for Students|STANDARDWOFFPACK_IW_STUDENT
Office 365 A3 for Faculty|ENTERPRISEPACKPLUS_FACULTY
Office 365 A3 for Students|ENTERPRISEPACKPLUS_STUDENT
Office 365 A5 for faculty|ENTERPRISEPREMIUM_FACULTY
Office 365 A5 for students|ENTERPRISEPREMIUM_STUDENT
Office 365 Advanced Compliance|EQUIVIO_ANALYTICS
Microsoft Copilot for Microsoft 365|M365_Copilot
Microsoft Defender for Office 365 (Plan 1)|ATP_ENTERPRISE
Office 365 Extra File Storage for GCC|SHAREPOINTSTORAGE_GOV
Microsoft Teams Commercial Cloud|TEAMS_COMMERCIAL_TRIAL
Microsoft Teams EEA|Microsoft_Teams_EEA_New
Microsoft Sales Copilot|Microsoft_Viva_Sales
Office 365 Cloud App Security|ADALLOM_O365
Office 365 Extra File Storage|SHAREPOINTSTORAGE
Office 365 E1|STANDARDPACK
Office 365 E1 EEA (no Teams)|Office_365_w/o_Teams_Bundle_E1
Office 365 E2|STANDARDWOFFPACK
Office 365 E3|ENTERPRISEPACK
Office 365 E3 EEA (no Teams)|O365_w/o_Teams_Bundle_E3
Office 365 E3 Developer|DEVELOPERPACK
Office 365 E3_USGOV_DOD|ENTERPRISEPACK_USGOV_DOD
Office 365 E3_USGOV_GCCHIGH|ENTERPRISEPACK_USGOV_GCCHIGH
Office 365 E4|ENTERPRISEWITHSCAL
Office 365 E5|ENTERPRISEPREMIUM
Office 365 E5 EEA (no Teams)|Office_365_w/o_Teams_Bundle_E5
Office 365 E5 EEA (no Teams) without Audio Conferencing|Office_365_E5_EEA_(no_Teams)_without_Audio_Conferencing
Office 365 E5 without Audio Conferencing|ENTERPRISEPREMIUM_NOPSTNCONF
Office 365 F3|DESKLESSPACK
Office 365 F3 EEA (no Teams)|Office_365_F3_EEA_(no_Teams)
Office 365 F3_USGOV_GCCHIGH|DESKLESSPACK_USGOV_GCCHIGH
Office 365 G1 GCC|STANDARDPACK_GOV
Office 365 G3 GCC|ENTERPRISEPACK_GOV
Office 365 G3 without Microsoft 365 Apps GCC|ENTERPRISEPACKWITHOUTPROPLUS_GOV
Office 365 G5 GCC|ENTERPRISEPREMIUM_GOV
